time;Tac;hs;u;R;Rg
2012-06-01 00:00:00;23.44;51.39;0.558;0;0
2012-06-01 01:00:00;23.04;51.8;0.867;0;0
2012-06-01 02:00:00;21.15;49.5;0.619;0;0
2012-06-01 03:00:00;19.73;55.26;0.583;0;0
2012-06-01 04:00:00;19;57.85;0.245;0;0
2012-06-01 05:00:00;19;61.98;0.171;0;23.2777777778
2012-06-01 06:00:00;21.43;51.75;0.636;0;174.4444444444
2012-06-01 07:00:00;24.94;48.82;0.723;0;341.6666666667
2012-06-01 08:00:00;26.41;38.04;1.021;0;528.0555555556
2012-06-01 09:00:00;27.61;33.36;1.077;0;684.7222222222
2012-06-01 10:00:00;28.81;32.48;0.992;0;801.1111111111
2012-06-01 11:00:00;29.94;26.92;1.182;0;889.1666666667
2012-06-01 12:00:00;29.99;34.35;1.682;0;901.9444444444
2012-06-01 13:00:00;30.26;34.89;2.538;0;882.2222222222
2012-06-01 14:00:00;30.59;34.35;2.558;0;810.2777777778
2012-06-01 15:00:00;30.52;34.08;2.456;0;690.2777777778
2012-06-01 16:00:00;30.11;34.21;2.193;0;526.1111111111
2012-06-01 17:00:00;29.44;36.71;1.882;0;368.3333333333
2012-06-01 18:00:00;27.56;39.83;1.873;0;193.4166666667
2012-06-01 19:00:00;24.88;45.46;1.279;0;49.6666666667
2012-06-01 20:00:00;23.41;52.52;0.673;0;0
2012-06-01 21:00:00;22.55;53.54;0.498;0;0
2012-06-01 22:00:00;22.08;53.28;0.276;0;0
2012-06-01 23:00:00;21.42;57.96;0.255;0;0
2012-06-02 00:00:00;20.68;62.37;0.364;0;0
2012-06-02 01:00:00;19.87;65.22;0.319;0;0
2012-06-02 02:00:00;19.54;63.33;0.239;0;0
2012-06-02 03:00:00;19.61;57.04;0.412;0;0
2012-06-02 04:00:00;18.93;65.1;0.539;0;0
2012-06-02 05:00:00;19;72;0.589;0;22.4166666667
2012-06-02 06:00:00;19.54;77;0.786;0;107.4722222222
2012-06-02 07:00:00;21.22;64.34;1.265;0;322.5
2012-06-02 08:00:00;21.62;61.21;1.025;0;293.0555555556
2012-06-02 09:00:00;21.94;62.35;1.292;0;324.1666666667
2012-06-02 10:00:00;23.02;59.77;1.681;0;468.8888888889
2012-06-02 11:00:00;23.96;56.1;2.043;0;642.2222222222
2012-06-02 12:00:00;25.43;58.39;2.068;0;903.0555555556
2012-06-02 13:00:00;25.49;57.78;2.201;0;871.3888888889
2012-06-02 14:00:00;25.14;54.25;2.164;0;808.8888888889
2012-06-02 15:00:00;23.66;58.45;2.383;0;684.7222222222
2012-06-02 16:00:00;23.33;60.35;1.974;0;439.4444444444
2012-06-02 17:00:00;22.92;61.44;1.66;0;326.3888888889
2012-06-02 18:00:00;21.72;63.41;1.636;0;125.7777777778
2012-06-02 19:00:00;20.86;69.11;1.491;0;34.8333333333
2012-06-02 20:00:00;20.53;71.4;1.144;0;0
2012-06-02 21:00:00;20.54;71.3;1.058;0;0
2012-06-02 22:00:00;20.74;73.6;1.387;0;0
2012-06-02 23:00:00;21.08;77.9;1.375;0;0
2012-06-03 00:00:00;20.95;76.5;0.811;0;0
2012-06-03 01:00:00;20.41;72.8;0.94;0;0
2012-06-03 02:00:00;20.41;71.5;0.981;0;0
2012-06-03 03:00:00;19.87;74.4;0.955;0;0
2012-06-03 04:00:00;20.07;76;0.736;0;0
2012-06-03 05:00:00;20.48;72.5;0.644;0;13.0194444444
2012-06-03 06:00:00;20.74;76.8;0.795;0;57.2222222222
2012-06-03 07:00:00;21.08;77.3;0.81;0;62.3888888889
2012-06-03 08:00:00;20.34;78.5;0.621;0;66.1944444444
2012-06-03 09:00:00;20.2;79.9;0.484;0;59.4166666667
2012-06-03 10:00:00;21.08;75.1;0.739;0;196.1111111111
2012-06-03 11:00:00;21.15;69.34;1.197;0;155.2777777778
